Date,Strategy,Ticker,Weight
2023-09-01,Minimum Variance,JPM,0.0
2023-09-01,Minimum Variance,JNJ,0.387672
2023-09-01,Minimum Variance,PG,0.270229
2023-09-01,Minimum Variance,XOM,0.054858
2023-09-01,Minimum Variance,CAT,0.0
2023-09-01,Minimum Variance,AMZN,0.089621
2023-09-01,Minimum Variance,BRK-B,0.159302
2023-09-01,Minimum Variance,LLY,0.031854
2023-09-01,Minimum Variance,NEE,0.006465
2023-10-02,Minimum Variance,AAPL,0.0
2023-10-02,Minimum Variance,MSFT,0.0
2023-10-02,Minimum Variance,GOOGL,0.0
2023-10-02,Minimum Variance,JPM,0.0
2023-10-02,Minimum Variance,JNJ,0.38753
2023-10-02,Minimum Variance,PG,0.272803
2023-10-02,Minimum Variance,XOM,0.056539
2023-10-02,Minimum Variance,CAT,0.0
2023-10-02,Minimum Variance,AMZN,0.087069
2023-10-02,Minimum Variance,BRK-B,0.162281
2023-10-02,Minimum Variance,LLY,0.030723
2023-10-02,Minimum Variance,NEE,0.003054
2023-11-01,Minimum Variance,AAPL,0.0
2023-11-01,Minimum Variance,MSFT,0.0
2023-11-01,Minimum Variance,GOOGL,0.0
2023-11-01,Minimum Variance,JPM,0.0
2023-11-01,Minimum Variance,JNJ,0.386094
2023-11-01,Minimum Variance,PG,0.275646
2023-11-01,Minimum Variance,XOM,0.056827
2023-11-01,Minimum Variance,CAT,0.0
2023-11-01,Minimum Variance,AMZN,0.087521
2023-11-01,Minimum Variance,BRK-B,0.162331
2023-11-01,Minimum Variance,LLY,0.030111
2023-11-01,Minimum Variance,NEE,0.00147
2023-12-01,Minimum Variance,AAPL,0.0
2023-12-01,Minimum Variance,MSFT,0.0
2023-12-01,Minimum Variance,GOOGL,0.0
2023-12-01,Minimum Variance,JPM,0.0
2023-12-01,Minimum Variance,JNJ,0.38545
2023-12-01,Minimum Variance,PG,0.277284
2023-12-01,Minimum Variance,XOM,0.056589
2023-12-01,Minimum Variance,CAT,0.0
2023-12-01,Minimum Variance,AMZN,0.087887
2023-12-01,Minimum Variance,BRK-B,0.16445
2023-12-01,Minimum Variance,LLY,0.02834
2023-12-01,Minimum Variance,NEE,0.0
2024-01-02,Minimum Variance,AAPL,0.0
2024-01-02,Minimum Variance,MSFT,0.0
2024-01-02,Minimum Variance,GOOGL,0.0
2024-01-02,Minimum Variance,JPM,0.0
2024-01-02,Minimum Variance,JNJ,0.386499
2024-01-02,Minimum Variance,PG,0.273417
2024-01-02,Minimum Variance,XOM,0.056384
2024-01-02,Minimum Variance,CAT,0.0
2024-01-02,Minimum Variance,AMZN,0.088456
2024-01-02,Minimum Variance,BRK-B,0.166164
2024-01-02,Minimum Variance,LLY,0.02904
2024-01-02,Minimum Variance,NEE,4.1e-05
2024-02-01,Minimum Variance,AAPL,0.0
2024-02-01,Minimum Variance,MSFT,0.0
2024-02-01,Minimum Variance,GOOGL,0.0
2024-02-01,Minimum Variance,JPM,0.0
2024-02-01,Minimum Variance,JNJ,0.389493
2024-02-01,Minimum Variance,PG,0.271239
2024-02-01,Minimum Variance,XOM,0.055763
2024-02-01,Minimum Variance,CAT,0.0
2024-02-01,Minimum Variance,AMZN,0.089076
2024-02-01,Minimum Variance,BRK-B,0.165367
2024-02-01,Minimum Variance,LLY,0.029063
2024-02-01,Minimum Variance,NEE,0.0
2024-03-01,Minimum Variance,AAPL,0.0
2024-03-01,Minimum Variance,MSFT,0.0
2024-03-01,Minimum Variance,GOOGL,0.0
2024-03-01,Minimum Variance,JPM,0.0
2024-03-01,Minimum Variance,JNJ,0.38848
2024-03-01,Minimum Variance,PG,0.272562
2024-03-01,Minimum Variance,XOM,0.056649
